2013-10-06 17:43:07,855 INFO  [main] (TransportServerThreadSupport.java:72) Listening for connections at: nio://127.0.0.1:34455
2013-10-06 17:43:07,857 INFO  [main] (TransportConnector.java:254) Connector nio://127.0.0.1:34455 Started
2013-10-06 17:43:07,859 INFO  [main] (BrokerService.java:657) Apache ActiveMQ 5.8.0 (localhost, ID:WN7X64-2609VM1-56658-1381074187687-0:1) started
2013-10-06 17:43:07,860 INFO  [main] (BrokerService.java:659) For help or more information please see: http://activemq.apache.org
2013-10-06 17:46:55,857 WARN  [ActiveMQ NIO Worker 12] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:56669 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-06 18:01:09,804 WARN  [ActiveMQ NIO Worker 43] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:56680 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-06 18:07:41,967 WARN  [ActiveMQ NIO Worker 46] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:56729 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-06 18:09:27,317 WARN  [ActiveMQ NIO Worker 49] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:56759 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-06 18:11:15,765 WARN  [ActiveMQ NIO Worker 54] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:56771 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-06 18:50:14,892 WARN  [ActiveMQ NIO Worker 131] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:56784 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-06 18:51:53,790 WARN  [ActiveMQ NIO Worker 135] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:56899 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-06 18:53:20,952 WARN  [ActiveMQ NIO Worker 138] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:56909 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-06 19:04:08,856 WARN  [ActiveMQ NIO Worker 150] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:56927 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-06 19:05:40,149 WARN  [ActiveMQ NIO Worker 155] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:56952 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-07 00:35:00,375 WARN  [ActiveMQ NIO Worker 824] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:56970 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-07 09:51:40,284 INFO  [main] (BrokerService.java:594) Using Persistence Adapter: MemoryPersistenceAdapter
2013-10-07 09:51:40,505 INFO  [main] (BrokerService.java:633) Apache ActiveMQ 5.8.0 (localhost, ID:WN7X64-2609VM1-56222-1381132300298-0:1) is starting
2013-10-07 09:51:40,519 INFO  [main] (TransportServerThreadSupport.java:72) Listening for connections at: nio://127.0.0.1:34455
2013-10-07 09:51:40,524 INFO  [main] (TransportConnector.java:254) Connector nio://127.0.0.1:34455 Started
2013-10-07 09:51:40,531 INFO  [main] (BrokerService.java:657) Apache ActiveMQ 5.8.0 (localhost, ID:WN7X64-2609VM1-56222-1381132300298-0:1) started
2013-10-07 09:51:40,532 INFO  [main] (BrokerService.java:659) For help or more information please see: http://activemq.apache.org
2013-10-07 09:56:14,228 WARN  [ActiveMQ NIO Worker 15] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:50712 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-07 09:57:43,954 WARN  [ActiveMQ NIO Worker 17] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:51183 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-07 09:58:29,280 WARN  [ActiveMQ NIO Worker 20] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:51191 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-07 09:59:25,711 WARN  [ActiveMQ NIO Worker 22] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:51420 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-07 10:00:17,612 WARN  [ActiveMQ NIO Worker 25] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:52077 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
